NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
12,30720,32,1,e1858ef805f688e7fa3af0d49605376e,f7d4a6f31973feb33523348ad14f754bbfec00950a31dce812405a245c720e0b,195
13,30720,32,1,9788f94d6131dc2418a75e43a344f3eb,3da4c8df87ac8f430e8faa3043e4d866c9754c83af08c911cd5ed04d741bba57,210
14,30720,32,1,2775bfee7af5aa8c219759ae530b5d50,607569860a9eb669ed00d42ea98f29154ece28e9430333223a14db89239f26fa,229
15,30720,32,1,5fe3b659e0e56d5c0e8199948ffdfc55,0a590e2b221fc556e2f2da759b94867ae3539c9194a4fd587f45327f49f8f3cb,240
16,30720,32,1,267b0c5668576046ef9812e0dc86158e,b26f0cea5d09d4854d5211809604f1d764ce4be40058d2087ced1ae04172e392,257
17,30720,32,1,510f9a40525db82ce7787a60f02561db,28083d522360e2faf868639a7337b898b04cf7379e87997e1bf3123159869853,272
18,30720,32,1,62cd48330604d63f20e5ca57e6165db5,e7d48d4947e7c6fcaee2f990b1d880095c78c200bd063927673dbb3a9fd80c86,297
19,30720,32,1,4a2609c6ebf0018c7e162ae22edcf24a,09932a42d202d680f88c3e7e04f7ccb92880f7ca7bbbf7dd9242ef0f987cde39,304
20,30720,32,1,86b5b78c428f582f1dbb7f5bedbc4767,10d1fcc77b207847f0f728b3f8ea2488ac2bec2403dc1886de4adf2300b32f4f,319
21,30720,32,1,7d506b48ad6f16e122069ea291b54438,597e04077f73f4365b7c4bfb7c7450331abf0c6aa14e812b865809ca7486a482,335
22,30720,32,1,2af1bc4a13de7258a36e276733fda426,80648dd7f622cb80ff08f3a62f411c2e2c45776b67c8dcaae3298f2939e21bf9,351
23,30720,32,1,7793c1f87850041fb82061c6993f4739,24bcf59921e4418e8b31b1692fb41afd1932ef9f54401f7fd3d9fc4dac95d095,367
24,30720,32,1,dec21137f615af7885249c21793c69cb,9d47b2cec9c6179aa7f7de1cb8003710e39bc4baf5898183b3f4bc5bf8a0fe6e,384
25,30720,32,1,6d3e9163a0835bafbab42d46f612c7aa,49281e3dc22c16371e9603d35bd1d78e176aeff55b3d1306e969bdd7668002a3,397
26,30720,32,1,8c66885d63c6aa2e2ffc042e21641dd0,3d6e022ffcceec422a2cf08ef79b878ea48759d669d744d0e67f8a286a3121d5,415
27,30720,32,1,4b20a6e5dab304c736db330fa5fa2937,7628d0b08126e7a069821c4e226e9d458dab9186244dc444077342fe9e574926,440
28,30720,32,1,9189ec874ca92d6a10e2ab5b31c8344c,89008f17a3f05d3b9fefe1046ed396ca8f28ab4b208b530dac95a56831f70ca9,445
29,30720,32,1,05458ea4c69e906e97d6df1781b05579,6fbe11279fa25c2304ecaa3ecbd4781f4572002cb1cd62a5b32b9f71c2eade06,461
30,30720,32,1,9a4a2eab533163f22a45189e8c4bdba5,9e9904fdff65d88f16fa2715519657a5f020345514226af5d1d3244997c0b8ea,475
4,40960,32,1,98da167dd5be98832a2de127bbcca35f,d4f91ff4f044ad5fc494d7ee1ab8b1c0ece2807d66d8ba95a3a61e9ff9a3bec9,100
5,40960,32,1,968f04c3de5dc3d634454f30c9c12b77,cc63ef1bb3959def785adb277701e9e7a48db2bf78bc1a91f3ee6aca5c2c0252,117
6,40960,32,1,8b9572202f3139d146480065cf4007f5,3da2344f9aed27d8c56b0114dbf13c9b2c2faca54162c6bb703a470212912383,136
7,40960,32,1,116a29370931992c175011cb9ad0ab4a,20410578143936df1477b0c870f9bce71f5d70d21fb2c7b241ab1619e7d3f02a,165
8,40960,32,1,3f99dd8e27958462e148bf45c1685942,b736ec149f36f5feef1a70ef0a8e210d1f4cec9392378b923cc465300018ac48,182
9,40960,32,1,c4b2e71794552d3779e4459d39a5b583,b40c525f5d6d2bc214627b4ae2c48692b6d29d98e71110e3f17c93348b9c0d9a,204
10,40960,32,1,2e7e775ca69a9168f1e38802f794a447,eef37a7077644e32772280436c00e7c482f90a6988d51dda485296297f8e9e48,227
11,40960,32,1,96f9e0c512536a23e1227e36d2b75c42,6be4ce189bda0dfbadce37f38465d92ac1168c7377f6d3696ad9d2e518b017e0,247
12,40960,32,1,23caf6f2a3b90826d24195eb86ca1d43,1f7d78f785f2d59e5d5c0ef1136e63fd0798440608fa04b69a76c84f85568db0,281
13,40960,32,1,f053027b4228296c2a2326c11192190c,9ae3a23f33b42bc0a711fb4d4026106817e0c5f6f005809f8c31398c556f9440,313
14,40960,32,1,4726384ba8342cbec66856a8c802d9a0,8e6c063f4bec0f4338817f12e35b4e6db57f0e06dfca3a3d606459233eb36db4,313
15,40960,32,1,b40e136238a8de216c4e28121c81d9bc,224b8a06f5f28f97e663ddc28f95c212fa5c1e30e944cd50c88764d93727f3c0,336
16,40960,32,1,b03d13bf137bb2a46082c3dd51337533,4262cc518ea7d5b97ba2ec055c990e7f29f7486fe7116e97ee0aabe0eace0749,364
17,40960,32,1,eafee543152d41f83a0b5180c718f42c,faa50b50c47f19914917abeab09b6df12fb39cdd84b31357b934f242229ff7af,381
18,40960,32,1,81fc0417e29e97126dc4fa8bc26cf83e,cb9d7f6048f21bc4ccc36f3e5b572ffd122038b7f71738c0f11c88a9eb25aa3d,401
19,40960,32,1,91a43895096238a7f50623ba8731f7a6,c0e03eedaf4872b15810011dca38ba2ad13249ae1bcbba59c27e3b58414d83cb,429
20,40960,32,1,608b451d893fe3b5b352232d61390fff,fcbc7f89d6fef5310a1b67d014b81d101b4da81ec8e476f15b2f9df512cdd1b5,445
21,40960,32,1,c032233fb82a01565e29daf0a336b125,99b82108076af99f825962201528457ac629302da9628d07756f9777c5666a57,467
22,40960,32,1,cee814ff87592f058ee7863f26a05215,4f7fd106a32af3a09c4aa234026e4d234084aa08c4d2f2197b7da4dc457a63a7,495
23,40960,32,1,d3f5aef62cf02f02f467faa964b191b8,58130546caaa28e8b19c827d24408e78613dd9009ac46e1a3c9bc3e5627bcb0a,511
24,40960,32,1,5cda43f0af066a598366a96eddec71f7,a9eb4b87aa6f573fc5bbeb309bca9cfd4d2704259e9a96e84b2a2a8d8270cade,535
25,40960,32,1,87a1a5d22a3322b27c254d37af6173b9,0c08189dc17c3ba05d22f5072e5383ca0a58b81f61860140caa4081182b3a64d,562
26,40960,32,1,57b47726db82313062355f4e8297791e,ccdae8de82581e91bc057cb1c7400a4d9689dc69fa5c3cd08c42ea547f96757f,582
27,40960,32,1,5b014689eb8a4d2216f6cf20cf9fc810,83bfea335c0de88954f4174cf76e2770e6aa53461720266dbde0c7b17a20cf3a,605
28,40960,32,1,8d8e0995768d24a1f12fec461537313d,b9dbd16fa71a5633c016bc01fecc2b4c8a5a67b139e64a434f998ca34f40573a,633
29,40960,32,1,fac082034971cb1e5f877333f886abab,d405735bc416450c08e9fd7dbc0d6388911468f5525d123476228ff449d3cef4,642
30,40960,32,1,e6c117524ea3f88ce15b455a5505f666,ea33ca39b31b2d556161cb0408d720b856573499c0e5efee6b6373c2a9fdc0c7,669
4,51200,32,1,9d0427df77998349e7ab89d3a601b152,10a0e21ead874c721397912bdba599fd6dbca0ce3aeb8c90a4c0410b268b79f6,121
5,51200,32,1,63edd013103e8f2d69b37921cae02828,51c079e66bd7f12ddca612c7b67ce66cfea50306328391d9f7a125fb9a45d0b7,151
6,51200,32,1,af60329bafb8d27debef430578e6f5cc,8bdf642d9d57ec66da5ac82ee7d3d6787cca4e87affbe8e5e014710ced4f901c,187
7,51200,32,1,0b147d7436d207908822c29215a8880f,36abdf4ff1a7fa7d42528181b31bf1cd128b3bce64715aa62f9eb74be1429414,207
8,51200,32,1,5721fc30ad95f9920008f37132da1e32,c250f87b253816ac0837f192d7ae329974479fdb04ba9ea666bc73d5a0127eb7,236
9,51200,32,1,358a8631070e9b7b4eec6c19aeebf524,888f453d16b80f422911fe4955de9568ee29161bf6766c592c9b44c171709c0e,263
10,51200,32,1,82f198788fde5a7691fb2547bef3fc54,90a6bdf988a890208f680b6c7357a085e3ffbba11e3d314f4ce51b55a736d0f7,292
11,51200,32,1,c7d3f67d81588ea9b895d78208b31a47,807edc5f910f86aa69a0e80201476679e0eebab3861a4a03716e6a0a1d1a79a5,319
12,51200,32,1,4560540f5b53932eed06c2f2e3cf8a84,4ff868a7cfa809507237ed029c2cd9946b7ae0964c048d4316a61ffa43a0ff55,348
13,51200,32,1,982b71822ae4d65bf67c598e6f908870,0b082ae54966d2608f6437a9d4de03fde6911ff0d41f3c4a56dba6c36d0bed7b,383
14,51200,32,1,b6e2a4a1dacb4120345ee0de8e97fa76,b521b77d9b31ee71e5f4fd4333638231621b116876f67efdffe7222eb82ac5d2,409
15,51200,32,1,8e91e246938a8944991d9bc7a20a72fc,3e4076582f0fc350d5074eb8e863f5538efaf41612d897e3f4d978ac541d9b37,434
16,51200,32,1,f17866957f0852c2401680e035abce05,1e622e59414b7dfccd24000a364512083227a293458faae208cdb35fe19ddd4e,465
17,51200,32,1,3b802dc92a617a05f12041ea0409fa56,e5f210d07ce52f127b365d270e5219c73107d96723b225492e9a88fd9e2717da,491
18,51200,32,1,9d19630bf5661d32c7fcac9184b28e9a,e68b81239959f2dbeb2b6a9f88e3fd331e7417341c7beb87468e186f7ec6aa37,522
19,51200,32,1,032ffa270927ffef668a3d41b4752735,68a54911cfa11ed10d058e9485b3d561ac6e012c5a225f1d9c87afbca44e0ec5,548
20,51200,32,1,564aa9e4c78e88e6753e717496a9da3c,f6af4361df223c0b6e95373646ff4c72a1a9e3c98282ebb75dd4b776483ef4fc,584
21,51200,32,1,033cd28668d25d496725e6a646c46ad5,1fd04931eb2a0123c75bd6488937bd176bbcec13c653263d521a3fa8c9e70f93,605
22,51200,32,1,6d17af792cc231bd33dba3476bdfae44,aebcc4286795586d1a3ba045fb543277e18df934ab5c88aefc5d83697503a693,638
23,51200,32,1,2ed56672544d76b1a7e9621eb2bbd66e,c6844b59d376370670733516b7f8abdb21f4caf76db66293d76635599efba1b8,661
24,51200,32,1,872693e9c66e99a8c0cf599f03606347,8258bd303371f1ffa3594e7394ae2b8139f5ad8ac7343a5492125a422162653e,699
25,51200,32,1,0947c0414e1e824a83ed75a655d11c15,f7c76411117747530ef45078ffd9affb76de847ccd6b6dd08843e9a801ee7605,719
26,51200,32,1,9dcdaf83fed603c410dfa38318687a67,28957fb8cc22c5f713ac57c02f3bf0e7cd3df8f051bc8b15444f8fff61c0ffac,753
27,51200,32,1,a72fb3a17db5d4befbe4688df324752e,b942d718e56f8c3fbd3cb0a1f3e21eb1615b181721a16b7f9d7b5f75ca1df075,779
28,51200,32,1,533dd925c017f2f2de8925f1132dd723,c5995637803e3d88f4e902dc2acd5bad2fb665a61472342fc2255f3feba389ce,809
29,51200,32,1,72face9e9b2b0afab8421c14b7a80d09,a148942c08098e5dc535a05dba9f24a4bc03fddfce747890dca1b855c54cb84b,837
30,51200,32,1,c0ce0fe78b395466d12846ebb1f461ed,27b12b1379ec3d481d984be8e4a05d77ff7f46c3b3c040755e52e7e4d0bb2f0d,867
